episode,time,cart_pos,cart_vel,pole_angle,pole_vel,action,reward
0,2.1,0.48168194,0.15035887,-0.24724253,-0.38850588,-0.04341885820031166,1.9122931957244873
0,2.12,0.477154,0.14381376,-0.26971185,-0.38681954,-0.041959527879953384,1.8688580989837646
0,2.14,0.47230503,0.13732564,-0.28726158,-0.38234594,-0.0403769351541996,1.838080883026123
0,2.16,0.4672128,0.13093811,-0.30039507,-0.37543863,-0.03873905912041664,1.817771077156067
0,2.18,0.4619462,0.12468842,-0.30963704,-0.3664629,-0.037102434784173965,1.8059706687927246
0,2.2,0.4565649,0.11860757,-0.31551555,-0.3557834,-0.03551283851265907,1.801027536392212
0,2.22,0.45111993,0.11272053,-0.3185476,-0.3437543,-0.034005794674158096,1.801574468612671
0,2.24,0.4456536,0.10704637,-0.31922674,-0.33071065,-0.032606516033411026,1.8064773082733154
0,2.2600000000000002,0.44020024,0.1015988,-0.31801286,-0.3169617,-0.03133148327469826,1.8147802352905273
0,2.2800000000000002,0.43478686,0.096386574,-0.31532532,-0.30278605,-0.030189666897058487,1.82566499710083
0,2.3000000000000003,0.42943382,0.0914141,-0.31153822,-0.28842878,-0.029182616621255875,1.8384249210357666
0,2.32,0.42415574,0.08668205,-0.30697703,-0.27409932,-0.028308186680078506,1.8524436950683594
0,2.34,0.41896224,0.08218796,-0.3019202,-0.25997275,-0.027559373527765274,1.867189645767212
0,2.36,0.41385877,0.07792677,-0.2965992,-0.24619016,-0.026926938444375992,1.8822110891342163
0,2.38,0.40884748,0.07389139,-0.29120174,-0.23286168,-0.02639887109398842,1.8971374034881592
0,2.4,0.4039277,0.070073225,-0.28587437,-0.22006787,-0.02596331015229225,1.9116714000701904
0,2.42,0.39909688,0.066462606,-0.28072807,-0.20786451,-0.025607619434595108,1.9255889654159546
0,2.44,0.3943508,0.06304919,-0.27584216,-0.19628502,-0.02531960979104042,1.93873131275177
0,2.46,0.38968438,0.05982229,-0.27126908,-0.18534455,-0.02508828416466713,1.950995922088623
0,2.48,0.38509184,0.056771133,-0.26703972,-0.1750436,-0.024902496486902237,1.9623324871063232
0,2.5,0.38056707,0.053885084,-0.2631661,-0.16537014,-0.02475402131676674,1.9727262258529663
0,2.52,0.3761041,0.051153824,-0.25964788,-0.15630417,-0.02463385835289955,1.9821977615356445
0,2.54,0.3716969,0.048567455,-0.25647283,-0.14781837,-0.024535570293664932,1.9907889366149902
0,2.56,0.36733988,0.046116587,-0.253622,-0.13988152,-0.02445337548851967,1.9985578060150146
0,2.58,0.36302778,0.0437924,-0.25107148,-0.13245985,-0.024382535368204117,2.005572557449341
0,2.6,0.35875586,0.041586652,-0.2487944,-0.12551847,-0.024319443851709366,2.0119056701660156
0,2.62,0.35451975,0.03949169,-0.24676293,-0.11902271,-0.02426132932305336,2.0176310539245605
0,2.64,0.3503156,0.037500434,-0.24494919,-0.11293893,-0.024205509573221207,2.022822380065918
0,2.66,0.34614003,0.035606354,-0.24332581,-0.10723451,-0.024150822311639786,2.0275473594665527
0,2.68,0.34199017,0.033803463,-0.24186757,-0.101879224,-0.024095479398965836,2.031872272491455
0,2.7,0.33786345,0.03208625,-0.24055034,-0.09684446,-0.024039480835199356,2.035853624343872
0,2.72,0.33375773,0.030449655,-0.23935336,-0.092104696,-0.023981276899576187,2.039546012878418
0,2.74,0.32967117,0.028889028,-0.23825666,-0.08763554,-0.023921731859445572,2.0429940223693848
0,2.7600000000000002,0.32560232,0.027400097,-0.23724417,-0.083416045,-0.023860011249780655,2.046238422393799
0,2.7800000000000002,0.32154992,0.025978925,-0.23630099,-0.07942661,-0.023796234279870987,2.049314498901367
0,2.8000000000000003,0.31751296,0.024621874,-0.23541436,-0.075649746,-0.02373063936829567,2.0522522926330566
0,2.82,0.31349054,0.023325589,-0.23457359,-0.07206993,-0.023663494735956192,2.0550756454467773
0,2.84,0.30948207,0.022086937,-0.23376995,-0.0686733,-0.02359536662697792,2.0578036308288574
0,2.86,0.30548698,0.020903012,-0.23299652,-0.065447964,-0.02352568879723549,2.060455322265625
0,2.88,0.30150485,0.01977109,-0.23224665,-0.062382434,-0.023454997688531876,2.063044548034668
0,2.9,0.29753533,0.018688632,-0.23151536,-0.05946677,-0.02338356152176857,2.065581798553467
0,2.92,0.29357812,0.01765324,-0.23079869,-0.056692135,-0.023311708122491837,2.0680763721466064
0,2.94,0.28963307,0.016662661,-0.23009369,-0.054050665,-0.023239050060510635,2.0705363750457764
0,2.96,0.2857,0.015714766,-0.22939734,-0.05153476,-0.023166660219430923,2.072965383529663
0,2.98,0.28177875,0.01480754,-0.22870839,-0.049138382,-0.023093972355127335,2.0753684043884277
0,3.0,0.2778692,0.013939063,-0.2280251,-0.046855357,-0.023021195083856583,2.077749252319336
0,3.02,0.27397132,0.013107516,-0.2273462,-0.044680104,-0.022948715835809708,2.080109119415283
0,3.04,0.27008507,0.0123111615,-0.22667122,-0.042607784,-0.022876236587762833,2.0824508666992188
0,3.06,0.26621026,0.011548343,-0.22599931,-0.040633556,-0.02280360832810402,2.0847768783569336
0,3.08,0.26234695,0.010817489,-0.22532952,-0.038752668,-0.022731754928827286,2.0870866775512695
0,3.1,0.25849512,0.010117081,-0.22466227,-0.036961656,-0.02265966311097145,2.0893821716308594
0,3.12,0.25465462,0.009445679,-0.22399673,-0.03525615,-0.02258816733956337,2.091663360595703
0,3.14,0.25082555,0.008801898,-0.2233331,-0.03363288,-0.022516313940286636,2.093932628631592
0,3.16,0.24700783,0.008184416,-0.22267045,-0.032087814,-0.022445056587457657,2.096189498901367
0,3.18,0.24320146,0.0075919665,-0.22200918,-0.030618088,-0.02237365022301674,2.0984349250793457
0,3.2,0.23940638,0.0070233373,-0.22134867,-0.029220214,-0.02230251207947731,2.1006691455841064
0,3.22,0.23562261,0.006477366,-0.220689,-0.027891371,-0.022231105715036392,2.1028943061828613
0,3.24,0.23185016,0.0059529427,-0.22002947,-0.026628364,-0.02216002717614174,2.105109691619873
0,3.2600000000000002,0.22808899,0.005449,-0.21937032,-0.025428714,-0.02208835259079933,2.10731840133667
0,3.2800000000000002,0.22433914,0.004964522,-0.2187105,-0.024289258,-0.022016707807779312,2.109520196914673
0,3.3000000000000003,0.22060059,0.004498537,-0.21804997,-0.023207564,-0.02194470539689064,2.1117172241210938
0,3.3200000000000003,0.21687338,0.0040501156,-0.21738821,-0.022181056,-0.021872464567422867,2.1139097213745117
0,3.34,0.21315752,0.0036183666,-0.21672492,-0.021207372,-0.021799717098474503,2.1160998344421387
0,3.36,0.20945305,0.0032024418,-0.21605943,-0.02028405,-0.021726403385400772,2.118288993835449
0,3.38,0.20576,0.0028015329,-0.21539119,-0.019408735,-0.02165297046303749,2.1204771995544434
0,3.4,0.20207846,0.0024148617,-0.2147203,-0.018579733,-0.021578583866357803,2.122667074203491
0,3.42,0.19840845,0.0020416891,-0.21404573,-0.017794529,-0.021503213793039322,2.124861240386963
0,3.44,0.19475009,0.0016813157,-0.21336652,-0.017050842,-0.021427366882562637,2.1270594596862793
0,3.46,0.19110338,0.0013330717,-0.2126826,-0.016347036,-0.02135065570473671,2.1292648315429688
0,3.48,0.18746848,0.0009963178,-0.2119933,-0.015681196,-0.021272514015436172,2.1314797401428223
0,3.5,0.18384548,0.00067045284,-0.21129738,-0.01505103,-0.02119353786110878,2.133704900741577
0,3.52,0.18023446,0.0003549039,-0.21059456,-0.014454985,-0.021113339811563492,2.1359426975250244
0,3.54,0.1766356,4.912733e-05,-0.20988409,-0.013891264,-0.021032486110925674,2.138192892074585
0,3.56,0.173049,-0.00024739833,-0.209166,-0.013358714,-0.02095005288720131,2.140458345413208
0,3.58,0.16947483,-0.00053516537,-0.20843922,-0.012855401,-0.020866069942712784,2.1427416801452637
0,3.6,0.16591322,-0.00081463583,-0.20770273,-0.012379587,-0.0207807756960392,2.1450445652008057
0,3.62,0.16236438,-0.001086248,-0.20695607,-0.011929945,-0.020693931728601456,2.1473684310913086
0,3.64,0.15882847,-0.001350415,-0.20619851,-0.011504954,-0.02060541883111,2.1497156620025635
0,3.66,0.15530568,-0.0016075255,-0.20542926,-0.011103141,-0.02051544561982155,2.1520872116088867
0,3.68,0.15179625,-0.0018579471,-0.2046479,-0.010723362,-0.020423833280801773,2.154484272003174
0,3.7,0.14830036,-0.0021020276,-0.20385389,-0.010364389,-0.02033010497689247,2.1569104194641113
0,3.72,0.14481828,-0.002340088,-0.20304605,-0.010024607,-0.02023467794060707,2.1593661308288574
0,3.74,0.14135021,-0.0025724312,-0.202224,-0.009703001,-0.020137224346399307,2.161853790283203
0,3.7600000000000002,0.13789642,-0.0027993387,-0.2013869,-0.009398281,-0.020038161426782608,2.1643736362457275
0,3.7800000000000002,0.13445716,-0.0030210768,-0.20053464,-0.009109704,-0.019936833530664444,2.166928291320801
0,3.8000000000000003,0.1310327,-0.0032378929,-0.19966622,-0.008835912,-0.019833240658044815,2.1695189476013184
0,3.8200000000000003,0.12762335,-0.0034500125,-0.19878082,-0.008575715,-0.0197276808321476,2.172147750854492
0,3.84,0.124229394,-0.0036576453,-0.1978781,-0.008328299,-0.019619975239038467,2.1748151779174805
0,3.86,0.12085115,-0.0038609873,-0.19695751,-0.008092727,-0.01951015368103981,2.1775217056274414
0,3.88,0.117488906,-0.0040602186,-0.1960187,-0.007868176,-0.019397709518671036,2.1802706718444824
0,3.9,0.114143,-0.004255501,-0.19506063,-0.0076534143,-0.019283030182123184,2.183062791824341
0,3.92,0.110813774,-0.004446982,-0.19408286,-0.0074476674,-0.01916617527604103,2.1858978271484375
0,3.94,0.107501544,-0.004634797,-0.19308524,-0.0072503546,-0.01904681697487831,2.1887779235839844
0,3.96,0.104206674,-0.0048190663,-0.19206709,-0.007060497,-0.018925461918115616,2.191701889038086
0,3.98,0.10092952,-0.0049999054,-0.1910285,-0.0068778004,-0.018801245838403702,2.1946725845336914
0,4.0,0.097670436,-0.0051774103,-0.1899685,-0.006701067,-0.01867455616593361,2.197690486907959
0,4.0200000000000005,0.09442978,-0.005351664,-0.18888661,-0.006529627,-0.018545303493738174,2.200756549835205
0,4.04,0.091207966,-0.005522739,-0.18778248,-0.0063627437,-0.018413756042718887,2.2038702964782715
0,4.0600000000000005,0.08800536,-0.005690698,-0.18665601,-0.0062000025,-0.018279943615198135,2.20703125
0,4.08,0.084822334,-0.0058555976,-0.18550725,-0.0060410807,-0.018143299967050552,2.2102413177490234
0,4.1,0.0816593,-0.0060174824,-0.18433544,-0.0058850134,-0.01800406351685524,2.2135000228881836
0,4.12,0.07851665,-0.0061763846,-0.1831403,-0.0057312134,-0.01786297932267189,2.216805934906006
0,4.14,0.075394765,-0.0063323355,-0.18192244,-0.0055798767,-0.017718736082315445,2.2201614379882812
0,4.16,0.07229405,-0.0064853537,-0.18068078,-0.005429779,-0.017572108656167984,2.223564863204956
0,4.18,0.069214925,-0.0066354475,-0.17941545,-0.005280637,-0.017423037439584732,2.2270164489746094
0,4.2,0.06615779,-0.00678262,-0.17812632,-0.0051320456,-0.017271701246500015,2.2305145263671875
0,4.22,0.06312304,-0.0069268714,-0.17681366,-0.00498382,-0.01711777225136757,2.2340593338012695
0,4.24,0.060111094,-0.0070681907,-0.17547718,-0.0048354156,-0.016961459070444107,2.2376503944396973
0,4.26,0.05712235,-0.0072065643,-0.17411695,-0.0046865363,-0.016802702099084854,2.241286277770996
0,4.28,0.05415722,-0.00734197,-0.17273298,-0.0045367987,-0.0166417695581913,2.2449655532836914
0,4.3,0.05121611,-0.007474386,-0.17132552,-0.0043860814,-0.016478631645441055,2.2486867904663086
0,4.32,0.048299417,-0.0076037846,-0.16989483,-0.0042342073,-0.016312871128320694,2.2524502277374268
0,4.34,0.045407537,-0.00773013,-0.1684406,-0.0040805717,-0.01614496484398842,2.256253719329834
0,4.36,0.04254087,-0.007853385,-0.16696316,-0.003925063,-0.015975210815668106,2.26009464263916
0,4.38,0.03969981,-0.007973512,-0.16546321,-0.0037677996,-0.01580316200852394,2.263972043991089
0,4.4,0.036884755,-0.008090468,-0.16394073,-0.0036083958,-0.015629205852746964,2.267883777618408
0,4.42,0.03409606,-0.008204211,-0.16239622,-0.0034468486,-0.015453223139047623,2.2718276977539062
0,4.44,0.031334106,-0.008314695,-0.16082999,-0.0032830092,-0.015275571495294571,2.2758007049560547
0,4.46,0.028599266,-0.008421878,-0.15924275,-0.00311698,-0.015095386654138565,2.27980375289917
0,4.48,0.025891898,-0.008525704,-0.15763399,-0.0029479885,-0.014914009720087051,2.2838315963745117
0,4.5,0.023212356,-0.008626124,-0.15600502,-0.0027766272,-0.0147307850420475,2.2878832817077637
0,4.5200000000000005,0.020560984,-0.00872309,-0.15435608,-0.002602651,-0.014545831829309464,2.2919559478759766
0,4.54,0.017938118,-0.008816551,-0.15268756,-0.0024259465,-0.014359477907419205,2.296046257019043
0,4.5600000000000005,0.015344083,-0.008906457,-0.1510003,-0.0022466567,-0.014172110706567764,2.3001503944396973
0,4.58,0.012779183,-0.00899276,-0.14929545,-0.002065219,-0.013982776552438736,2.3042678833007812
0,4.6000000000000005,0.010243723,-0.009075417,-0.14757279,-0.0018810546,-0.013792727142572403,2.3083934783935547
0,4.62,0.007737992,-0.00915438,-0.14583369,-0.0016947524,-0.013601336628198624,2.3125252723693848
0,4.64,0.0052622636,-0.00922961,-0.14407863,-0.0015061968,-0.013408754020929337,2.3166608810424805
0,4.66,0.0028168045,-0.00930106,-0.14230815,-0.0013153515,-0.01321500912308693,2.3207969665527344
0,4.68,0.0004018732,-0.009368688,-0.1405228,-0.001122133,-0.013020757585763931,2.324929714202881
0,4.7,-0.0019822933,-0.009432456,-0.13872387,-0.0009270841,-0.012825701385736465,2.3290557861328125
0,4.72,-0.0043354724,-0.009492332,-0.13691212,-0.0007302561,-0.01262987032532692,2.3331727981567383
0,4.74,-0.0066574533,-0.0095482785,-0.13508822,-0.00053168007,-0.012433622032403946,2.3372764587402344
0,4.76,-0.008948041,-0.009600269,-0.13325326,-0.00033169042,-0.012237075716257095,2.3413634300231934
0,4.78,-0.011207062,-0.009648279,-0.1314083,-0.00013057888,-0.012039337307214737,2.345433235168457
0,4.8,-0.013434338,-0.00969228,-0.12955308,7.231173e-05,-0.01184222474694252,2.3494794368743896
0,4.82,-0.015629724,-0.009732253,-0.12768982,0.00027584517,-0.011644694954156876,2.3535001277923584
0,4.84,-0.01779309,-0.009768182,-0.12581897,0.0004801678,-0.011447105556726456,2.357491970062256
0,4.86,-0.019924315,-0.009800056,-0.12394148,0.0006850568,-0.011249635368585587,2.361452102661133
0,4.88,-0.022023302,-0.009827866,-0.12205837,0.0008902531,-0.011052314192056656,2.365377187728882
0,4.9,-0.024089964,-0.0098516075,-0.12017055,0.0010955727,-0.010855171829462051,2.369264602661133
0,4.92,-0.026124233,-0.009871279,-0.118278876,0.001300894,-0.01065877452492714,2.373110294342041
0,4.94,-0.028126061,-0.009886887,-0.11638482,0.0015056059,-0.010462496429681778,2.3769125938415527
0,4.96,-0.030095413,-0.009898438,-0.114488825,0.0017098779,-0.010266993194818497,2.3806686401367188
0,4.98,-0.03203227,-0.0099059455,-0.11259213,0.0019132842,-0.01007208600640297,2.38437557220459
0,5.0,-0.033936627,-0.009909427,-0.110695615,0.0021156773,-0.009877894073724747,2.388031482696533
0,5.0200000000000005,-0.03580851,-0.009908901,-0.10880012,0.0023169024,-0.009684864431619644,2.391632556915283
0,5.04,-0.037647955,-0.009904393,-0.10690704,0.0025164322,-0.009492550045251846,2.3951778411865234
0,5.0600000000000005,-0.039455008,-0.009895932,-0.10501693,0.0027143115,-0.009301308542490005,2.398664951324463
0,5.08,-0.041229725,-0.009883551,-0.10313079,0.0029103165,-0.009111378341913223,2.4020915031433105
0,5.1000000000000005,-0.04297219,-0.009867287,-0.10124978,0.0031040467,-0.008922640234231949,2.4054555892944336
0,5.12,-0.044682506,-0.009847183,-0.09937472,0.003295356,-0.008735153824090958,2.4087562561035156
0,5.14,-0.046360787,-0.009823282,-0.09750645,0.0034841232,-0.008549485355615616,2.41198992729187
0,5.16,-0.04800716,-0.009795638,-0.0956464,0.0036697343,-0.008365008980035782,2.415156841278076
0,5.18,-0.049621783,-0.009764303,-0.093795,0.0038522822,-0.00818232074379921,2.418254852294922
0,5.2,-0.05120481,-0.00972934,-0.0919534,0.004031418,-0.008000675588846207,2.4212846755981445
0,5.22,-0.05275642,-0.009690801,-0.09012162,0.0042075366,-0.007821176201105118,2.424243450164795
0,5.24,-0.05427679,-0.009648748,-0.088301145,0.0043800096,-0.007643554359674454,2.427130937576294
0,5.26,-0.055766128,-0.00960325,-0.08649286,0.0045485944,-0.0074678100645542145,2.429945945739746
0,5.28,-0.057224657,-0.009554379,-0.08469758,0.0047130925,-0.007294062525033951,2.432687997817993
